place,lng,lat
Sony Hall,-73.98708900156761,40.75952999329172
The High Bridge,-73.9316531,40.8424433
Randall's Island Park,-73.92186370105728,40.79479031089095
Castle Clinton National Monument,-74.01044500712791,40.70713999714104
New York Public Library - Bloomingdale Library,-73.96754999999996,40.79603000000003
Helen Hayes Theatre,-73.98784165000001,40.7578513
Gramercy Park,-73.98462657192094,40.73956696956856
Greeley Square Park,-74.0016899416231,40.754780052581225
Times Square Countdown,-73.98472999873792,40.758739998917434
Rose Center for Earth and Space,-73.97238999999996,40.781930000000045
Nicholas Roerich Museum,-73.96882722894028,40.80283255
The Kneeling Fireman,-73.97967001142896,40.75368001160848
Cherry Lane Theatre,-74.00535999999994,40.73135000000008
Diamond District,-73.98176992963151,40.75803005171849
Irish Repertory Theatre,-73.99476999999996,40.742620000000045
NY Waterway,-73.8002614011758,40.5871858136674
Algonquin Hotel,-73.98234726189956,40.7559397
The Green Room 42,-73.99553100298883,40.75923000497707
The New York Earth Room,-73.99976503755886,40.72591998648173
The Annex / Hell's Kitchen Flea Market,-73.96297988200699,40.60283006196974
The Mall,-73.96927999999997,40.75929000000008
Dalmatian and Taxi Sculpture,-73.9726199926681,40.74308000539574
Scandinavia House,-73.97994999999997,40.74941000000007
Ford Foundation Building,-73.97115857762051,40.7498787
Zuccotti Park,-74.01099999999997,40.709550000000036
New York Yacht Club,-73.9815595,40.7555778
Heckscher Playground,-73.98891499999996,40.766755000000046
Sutton Place Park,-73.96019998300223,40.75801216704369
Town Hall,-73.9845629,40.7560233
Columbus Park,-73.99935999999997,40.71586000000008
LuminoCity Festival,-73.93745499999994,40.80145500000003
Seagram Building,-73.97198405511598,40.75840725
United States Custom House,-74.01372099016501,40.704440018490175
Obscura Antiques & Oddities,-73.9812602,40.7296795
The National Jazz Museum in Harlem,-73.9379810234243,40.80538000948977
Grand Bazaar NYC,-73.97772700245386,40.7808880045921
